metric_id,source_order,source_id,variable_code,variable_name,driver_code,driver_name,barrier_grouping,variable_weight,assessment_item,report_metric_label,what_this_checks,option_1,option_2,option_3,option_4,option_5,na_option,question_type,report_feed,source
R11.02,12,G12,R11,"Due diligence, finance & risk",D21,Governance and controls,"B5 - Due Diligence, Operations & Financial Viability",,"Our board or oversight body includes relevant expertise (finance, legal, sector, community, safeguarding, or governance)",Board minutes and decision records,"Answer based on the actual skills and lived knowledge available in oversight, not titles alone.",1 — Oversight lacks the expertise funders would expect for our risks,"2 — A few skills exist, but key finance/legal/sector gaps remain",3 — Some relevant expertise is present but uneven,4 — Most needed expertise is present with minor gaps,"5 — Oversight expertise strongly matches our work, risks, and funding needs",N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Due diligence, finance & risk; B5 Due Diligence, Operations & Financial Viability; Due Diligence; Budget / Contract",Original tested item G2.2 — statement and choices preserved
R11.03,13,G13,R11,"Due diligence, finance & risk",D21,Governance and controls,"B5 - Due Diligence, Operations & Financial Viability",,Authority to sign agreements or approve large spending is clearly assigned,Named role owners and timelines,"Check whether people know who can legally and operationally approve grants, contracts, and major spending.",1 — No clear signing or large-spend authority exists,2 — Authority exists informally or depends on one person,3 — Authority is partly clear but not consistently documented,4 — Authority is clear with minor documentation gaps,"5 — Signing and approval authority is documented, current, and consistently used",N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Due diligence, finance & risk; B5 Due Diligence, Operations & Financial Viability; Due Diligence; Budget / Contract",Original tested item G2.3 — statement and choices preserved
R11.04,14,G14,R11,"Due diligence, finance & risk",D21,Governance and controls,"B5 - Due Diligence, Operations & Financial Viability",,Finance rules for approving and recording spending are active,Safeguarding implementation evidence,Answer based on whether finance rules are actually used in spending decisions and records.,1 — No active spending approval or recording rules are used,"2 — Rules exist but are informal, outdated, or inconsistently followed",3 — Rules are partly used but gaps appear under pressure,4 — Rules are mostly followed with small improvement areas,"5 — Finance rules are active, understood, and consistently evidenced",N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Due diligence, finance & risk; B5 Due Diligence, Operations & Financial Viability; Due Diligence; Budget / Contract",Original tested item G2.4 — statement and choices preserved
R11.05,15,G15,R11,"Due diligence, finance & risk",D21,Governance and controls,"B5 - Due Diligence, Operations & Financial Viability",,"At least two people approve or check payments, especially larger amounts",Finance policy readiness,"Check whether payment controls reduce error, misuse, pressure, and concentration of financial power.",1 — One person can approve/pay without meaningful checks,2 — Some checks exist but are irregular or too easy to bypass,3 — Two-person checks happen for some payments but not consistently,"4 — Most payments, especially large ones, have two-person checks",5 — Payment approvals are consistently segregated and evidenced,N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Due diligence, finance & risk; B5 Due Diligence, Operations & Financial Viability; Due Diligence; Budget / Contract",Original tested item G2.5 — statement and choices preserved
R11.06,16,G16,R11,"Due diligence, finance & risk",D21,Governance and controls,"B5 - Due Diligence, Operations & Financial Viability",,Financial records are current enough to support a funding application,Financial control visibility,"Answer whether your records are up to date enough to produce budgets, actuals, bank records, and explanations without panic.",1 — Financial records are too outdated or incomplete to support an application,2 — Records exist but would require major cleanup before applying,3 — Records are usable but need reconciliation or explanation,4 — Records are mostly current with minor cleanup needed,"5 — Financial records are current, reconciled, and application-ready",N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Due diligence, finance & risk; B5 Due Diligence, Operations & Financial Viability; Due Diligence; Budget / Contract",Original tested item G2.6 — statement and choices preserved
R11.07,17,G17,R11,"Due diligence, finance & risk",D21,Governance and controls,"B5 - Due Diligence, Operations & Financial Viability",,Conflict-of-interest rules are in place and used,Budget control and approval process,"Check whether conflicts are declared, discussed, managed, and recorded when decisions involve money, hiring, partnerships, or family/close networks.",1 — No conflict-of-interest rules or practices are used,2 — Rules exist on paper but are rarely applied,3 — Conflicts are sometimes managed but not consistently recorded,4 — Conflict rules are mostly used and documented,"5 — Conflict practices are active, trusted, documented, and funder-ready",N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Due diligence, finance & risk; B5 Due Diligence, Operations & Financial Viability; Due Diligence; Budget / Contract",Original tested item G2.7 — statement and choices preserved
R11.08,18,G18,R11,"Due diligence, finance & risk",D21,Governance and controls,"B5 - Due Diligence, Operations & Financial Viability",,"We can produce core verification documents quickly because they are organised, current, and safely shareable",Procurement and reporting controls,"This checks document retrieval systems, not the quality of every document. Use the document checklist page for document-by-document status.",1 — Core verification documents cannot be found or shared quickly,"2 — Some documents exist but are scattered, old, or unsafe to share",3 — A basic document pack exists but needs updates or review,4 — Most verification documents are organised and shareable within 48 hours,"5 — A current, safe, funder-ready document pack is available within 48 hours",N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Due diligence, finance & risk; B5 Due Diligence, Operations & Financial Viability; Due Diligence; Budget / Contract",Original tested item G2.8 — statement and choices preserved
R07.01,19,G19,R07,"Relationship, leadership & visibility",D13,Relationship management,"B3 - Fit, Competitiveness & Access",,"Our organisation can be verified safely through public information and platforms, such as a website, social media, reports, or trusted public references",Relationship history tracking,"Assess whether a funder can confirm you are real, current, and credible without exposing anyone to unnecessary safety risk.",1 — A funder would struggle to verify us safely from public signals,"2 — Public signals exist but are outdated, thin, or inconsistent",3 — Verification is possible but needs stronger/current public signals,4 — Public signals mostly confirm legitimacy and activity,"5 — Public presence is current, safe, credible, and easy to verify",N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Relationship, leadership & visibility; B3 Fit, Competitiveness & Access; Conversation; Award/Renewal",Original tested item G2.9 — statement and choices preserved
R08.01,20,G20,R08,Application quality & storytelling,D15,Application clarity and storytelling,"B4 - Proposal, Proof, Trust & Ethics",,Our work can be explained and understood by anyone in two simple sentences,Problem statement precision,"Test whether a person outside your field can quickly understand what you do, for whom, and why it matters.",1 — We cannot explain the work simply without long background,"2 — The explanation is too abstract, broad, or insider-heavy",3 — A basic explanation exists but needs sharper language,4 — The work is mostly clear in two simple sentences,"5 — The work is instantly clear, specific, and funder-readable",N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Application quality & storytelling; B4 Proposal, Proof, Trust & Ethics; Application Submitted; Proposal Review",Original tested item G3.1 — statement and choices preserved
R08.02,21,G21,R08,Application quality & storytelling,D15,Application clarity and storytelling,"B4 - Proposal, Proof, Trust & Ethics",,Our change logic is mapped from what we do to what that changes,Theory of change clarity,"Check whether activities, outputs, outcomes, and longer-term change connect logically.",1 — Activities are not clearly linked to change,2 — Links between activities and change are mostly assumed,3 — A basic logic exists but has gaps or weak evidence,4 — The change pathway is mostly clear and usable,"5 — The change logic is clear, evidenced, and proposal-ready",N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Application quality & storytelling; B4 Proposal, Proof, Trust & Ethics; Application Submitted; Proposal Review",Original tested item G3.2 — statement and choices preserved
R08.03,22,G22,R08,Application quality & storytelling,D15,Application clarity and storytelling,"B4 - Proposal, Proof, Trust & Ethics",,"The problem we address is specific and bounded, not “everything everywhere”",Human story and specificity,Assess whether your problem statement is focused enough for funders to understand what their money can help change.,1 — The problem is too broad for a funder to assess,2 — The problem is important but still vague or over-expanded,3 — The problem is partly bounded but needs sharper scope,4 — The problem is specific enough with small refinements needed,"5 — The problem is specific, bounded, and clearly fundable",N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Application quality & storytelling; B4 Proposal, Proof, Trust & Ethics; Application Submitted; Proposal Review",Original tested item G3.3 — statement and choices preserved
R09.01,23,G23,R09,"Coherence, evidence & social proof",D17,Evidence readiness,"B4 - Proposal, Proof, Trust & Ethics",,The impact our work has is real and we can show it,Evidence linked to major claims,"Answer using evidence of change: results, feedback, stories, data, shifts, cases, wins, or community validation.",1 — We cannot yet show credible impact from the work,2 — Impact is described mainly through belief or anecdotes,3 — Some impact evidence exists but is incomplete or scattered,4 — Impact is mostly visible through credible evidence,"5 — Impact is clearly demonstrated through strong, ethical evidence",N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Coherence, evidence & social proof; B4 Proposal, Proof, Trust & Ethics; Proposal Review; Due Diligence",Original tested item G3.4 — statement and choices preserved
R08.04,24,G24,R08,Application quality & storytelling,D15,Application clarity and storytelling,"B4 - Proposal, Proof, Trust & Ethics",,"Our narrative assets are ready for funding conversations, such as an organisational profile, concept note, pitch, story bank, or case studies",Funder-aligned framing,Check whether you have reusable narrative materials that can be adapted quickly without starting from zero.,1 — No reusable narrative assets are ready,2 — A few assets exist but are outdated or too rough to share,3 — Some usable assets exist but need alignment and polish,4 — Most narrative assets are current and easy to adapt,"5 — Narrative assets are current, coherent, ethical, and funder-ready",N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Application quality & storytelling; B4 Proposal, Proof, Trust & Ethics; Application Submitted; Proposal Review",Original tested item G3.5 — statement and choices preserved
R09.02,25,G25,R09,"Coherence, evidence & social proof",D17,Evidence readiness,"B4 - Proposal, Proof, Trust & Ethics",,"Our evidence of work and results is ready, such as attendance records, feedback, outputs, outcomes, stories, media, references, or MEL data",Budget narrative coherence,"Check whether evidence is accessible, credible, and connected to the claims you make.",1 — Evidence is missing or too scattered to support claims,"2 — Some evidence exists but is weak, old, or hard to connect",3 — Evidence supports some claims but has important gaps,4 — Most claims are supported by accessible evidence,"5 — Evidence is strong, current, ethical, and easy to use in proposals",N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Coherence, evidence & social proof; B4 Proposal, Proof, Trust & Ethics; Proposal Review; Due Diligence",Original tested item G3.6 — statement and choices preserved
R10.01,26,G26,R10,Safeguarding & protected proof,D19,Safeguarding and ethics,"B4 - Proposal, Proof, Trust & Ethics",,Community stories are consent-based and dignity-preserving,Safeguarding policy readiness,"Assess whether stories, photos, quotes, and examples are collected and shared with consent, care, and safety.",1 — Stories are used without clear consent or dignity safeguards,2 — Consent is inconsistent or not well documented,3 — Some story safeguards exist but need stronger practice,4 — Most stories are consent-based and dignity-preserving,"5 — Story practice is ethical, documented, safe, and community-accountable",N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Safeguarding & protected proof; B4 Proposal, Proof, Trust & Ethics; Proposal Review; Due Diligence",Original tested item G3.7 — statement and choices preserved
R05.02,27,G27,R05,"Competitive positioning, appeal & ROI",D09,Competitive positioning,"B3 - Fit, Competitiveness & Access",,Our proposals clearly show why we are well placed to do the work beyond our identity,Funder value case clarity,"Identity and lived experience matter, but funders also need to see capability, relationships, method, and track record.",1 — Proposals rely on identity without showing capability or method,2 — Capability is implied but not clearly evidenced,3 — Some capability is shown but the case needs strengthening,4 — Proposals mostly show why we are well placed,"5 — Proposals clearly combine identity, capability, evidence, and trust",N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Competitive positioning, appeal & ROI; B3 Fit, Competitiveness & Access; Proposal Review",Original tested item G3.8 — statement and choices preserved
R08.05,28,G28,R08,Application quality & storytelling,D15,Application clarity and storytelling,"B4 - Proposal, Proof, Trust & Ethics",,"Our budget, workplan, and narrative tell the same coherent story",Ask clarity,"Check whether the money, activities, timeline, staffing, and promised results match each other.","1 — Budget, workplan, and narrative contradict or confuse each other",2 — Alignment is weak and would raise funder questions,3 — The pieces mostly connect but several gaps need fixing,4 — The pieces are coherent with minor adjustments needed,"5 — Budget, workplan, and narrative are fully aligned and credible",N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Application quality & storytelling; B4 Proposal, Proof, Trust & Ethics; Application Submitted; Proposal Review",Original tested item G3.9 — statement and choices preserved
R05.03,29,G29,R05,"Competitive positioning, appeal & ROI",D09,Competitive positioning,"B3 - Fit, Competitiveness & Access",,"Our funding language feels grounded, human, and specific, not generic, over-polished, or detached from actual realities",Return-on-investment and outcome logic,"Check whether proposals sound like your real work, place, people, and evidence — not copied buzzwords or AI-polished language without substance.","1 — Language is generic, detached, or unlikely to feel real to a funder","2 — Some grounded detail exists, but buzzwords or over-polished phrasing dominate",3 — Language mixes real detail with generic wording and needs sharper evidence,"4 — Language is mostly specific, human, and grounded with minor refinements needed","5 — Language is compelling, specific, ethical, and clearly rooted in real work",N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Competitive positioning, appeal & ROI; B3 Fit, Competitiveness & Access; Proposal Review",Original tested item G3.10 — statement and choices preserved
R09.03,30,G30,R09,"Coherence, evidence & social proof",D17,Evidence readiness,"B4 - Proposal, Proof, Trust & Ethics",,"Our oversight body (board, steering committee, elders, or equivalent) met, decided, and documented meetings and outcomes in the last 12 months",Workplan and activity alignment,"Check whether oversight has recent activity, decisions, and records that demonstrate accountability.",1 — No recent oversight meetings or decisions are documented,2 — Meetings happened informally but records are weak or missing,3 — Some meetings/decisions are documented but gaps remain,4 — Recent oversight activity is mostly documented,"5 — Oversight meetings, decisions, and outcomes are current and well recorded",N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Coherence, evidence & social proof; B4 Proposal, Proof, Trust & Ethics; Proposal Review; Due Diligence",Original tested item G4.1 — statement and choices preserved
R09.04,31,G31,R09,"Coherence, evidence & social proof",D17,Evidence readiness,"B4 - Proposal, Proof, Trust & Ethics",,"If the founder, ED, or key person left, work would continue to the same standard",Results proof and outcome indicators,"Assess whether knowledge, relationships, systems, and authority are shared enough to reduce key-person risk.",1 — Work would likely stop or collapse if one key person left,2 — Continuity depends heavily on one or two people,3 — Some backups exist but quality or knowledge would drop,4 — Work would continue with manageable disruption,"5 — Continuity is protected through shared systems, roles, and knowledge",N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Coherence, evidence & social proof; B4 Proposal, Proof, Trust & Ethics; Proposal Review; Due Diligence",Original tested item G4.2 — statement and choices preserved
R09.05,32,G32,R09,"Coherence, evidence & social proof",D17,Evidence readiness,"B4 - Proposal, Proof, Trust & Ethics",,"People we serve have real, meaningful, and structured influence over priorities",Partner and peer references,"Answer whether communities influence decisions through real mechanisms, not only consultation language.",1 — People served have little or no influence over priorities,"2 — Influence is informal, occasional, or symbolic",3 — Some structured influence exists but power is uneven,4 — Community influence is meaningful with minor gaps,"5 — Community influence is structured, regular, and decision-shaping",N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Coherence, evidence & social proof; B4 Proposal, Proof, Trust & Ethics; Proposal Review; Due Diligence",Original tested item G4.3 — statement and choices preserved
R09.06,33,G33,R09,"Coherence, evidence & social proof",D17,Evidence readiness,"B4 - Proposal, Proof, Trust & Ethics",,"There is evidence the community buys into, requested, or endorsed our work",Past funder proof and testimonials,"Check whether community demand, trust, or endorsement can be shown through records, participation, feedback, referrals, or leadership.",1 — No clear evidence of community buy-in or endorsement,2 — Buy-in is assumed but weakly evidenced,3 — Some community evidence exists but is incomplete,4 — Community buy-in is mostly clear and evidenced,"5 — Community demand/endorsement is strong, current, and credible",N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Coherence, evidence & social proof; B4 Proposal, Proof, Trust & Ethics; Proposal Review; Due Diligence",Original tested item G4.4 — statement and choices preserved
R09.07,34,G34,R09,"Coherence, evidence & social proof",D17,Evidence readiness,"B4 - Proposal, Proof, Trust & Ethics",,Our records and reports would match reality if spot-checked,Community endorsement evidence,"Assess whether funder-facing reports, financial records, attendance, outputs, and stories reflect what actually happened.",1 — Records would likely fail a spot-check against reality,2 — Some records may not match or cannot be explained,3 — Records mostly match but need cleanup or evidence links,4 — Records would mostly pass a spot-check,"5 — Records are accurate, traceable, and confidently spot-check ready",N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Coherence, evidence & social proof; B4 Proposal, Proof, Trust & Ethics; Proposal Review; Due Diligence",Original tested item G4.5 — statement and choices preserved
R10.02,35,G35,R10,Safeguarding & protected proof,D19,Safeguarding and ethics,"B4 - Proposal, Proof, Trust & Ethics",,Our safeguarding or harm-prevention policies and practices are active,Protected evidence protocol,"Check whether safeguarding is lived in practice through roles, reporting routes, training, and response habits.",1 — No active safeguarding or harm-prevention practice exists,2 — Policy exists but practice is unclear or inactive,3 — Some practices exist but are incomplete or uneven,4 — Safeguarding is mostly active with minor gaps,"5 — Safeguarding is active, known, documented, and trusted",N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Safeguarding & protected proof; B4 Proposal, Proof, Trust & Ethics; Proposal Review; Due Diligence",Original tested item G4.6 — statement and choices preserved
R10.03,36,G36,R10,Safeguarding & protected proof,D19,Safeguarding and ethics,"B4 - Proposal, Proof, Trust & Ethics",,"We have safe complaints and whistleblowing routes, and people trust them",Consent and redaction practice,"Assess whether concerns can be raised safely, confidentially, and without retaliation.",1 — No safe complaints or whistleblowing route exists,2 — A route exists but is not trusted or clearly protected,3 — Some route exists but confidentiality/response needs work,4 — Routes are mostly safe and trusted with minor gaps,"5 — Routes are safe, confidential, trusted, and regularly communicated",N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Safeguarding & protected proof; B4 Proposal, Proof, Trust & Ethics; Proposal Review; Due Diligence",Original tested item G4.7 — statement and choices preserved
R10.04,37,G37,R10,Safeguarding & protected proof,D19,Safeguarding and ethics,"B4 - Proposal, Proof, Trust & Ethics",,"There are no unresolved legal, sanctions, fraud, safeguarding, or serious reputational issues that would block funding, or any issues are transparently disclosed and being handled",Case data and identifying detail safety,"Answer honestly. This checks whether serious funder-blocking risks are absent, resolved, or actively managed.",1 — Serious unresolved issues would likely block funding,2 — Issues exist and the response is unclear or under-documented,3 — Issues are being handled but may still worry funders,4 — Issues are mostly resolved/disclosed with minor follow-up needed,"5 — No material blocker exists, or issues are transparently managed and evidenced",N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Safeguarding & protected proof; B4 Proposal, Proof, Trust & Ethics; Proposal Review; Due Diligence",Original tested item G4.8 — statement and choices preserved
R07.02,38,G38,R07,"Relationship, leadership & visibility",D13,Relationship management,"B3 - Fit, Competitiveness & Access",,Credible people or organisations in or connected to our movement/area can vouch for us,Funder follow-up rhythm,"Check whether trusted references can confirm your legitimacy, contribution, reliability, and community relationship.",1 — No credible references are currently available,"2 — References exist but are weak, distant, or unprepared",3 — Some credible references can vouch for parts of the work,4 — Strong references are available with minor gaps,"5 — Credible, relevant references can clearly vouch for us",N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Relationship, leadership & visibility; B3 Fit, Competitiveness & Access; Conversation; Award/Renewal",Original tested item G4.9 — statement and choices preserved
R07.03,39,G39,R07,"Relationship, leadership & visibility",D13,Relationship management,"B3 - Fit, Competitiveness & Access",,Past funders would fund us again or recommend us,Leadership visibility and credibility,"Answer based on actual relationship quality, grant closeout, reporting, and funder feedback.",1 — Past funders would likely not recommend or re-fund us,2 — Past funder relationships are uncertain or unresolved,"3 — Some past funders may recommend us, but confidence is mixed",4 — Most past funders would likely recommend or re-fund us,5 — Past funders are strong advocates or repeat-funding prospects,N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Relationship, leadership & visibility; B3 Fit, Competitiveness & Access; Conversation; Award/Renewal",Original tested item G4.10 — statement and choices preserved
R11.09,40,G40,R11,"Due diligence, finance & risk",D21,Governance and controls,"B5 - Due Diligence, Operations & Financial Viability",,Each major activity has a named person responsible,Reporting calendar and donor compliance,Check whether delivery ownership is clear enough that work does not disappear between people.,1 — Major activities have no clear owner,2 — Owners are assumed but not clearly assigned,3 — Some activities have owners but gaps remain,4 — Most activities have clear owners,"5 — Every major activity has a named, supported, accountable owner",N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Due diligence, finance & risk; B5 Due Diligence, Operations & Financial Viability; Due Diligence; Budget / Contract",Original tested item G5.1 — statement and choices preserved
R11.10,41,G41,R11,"Due diligence, finance & risk",D21,Governance and controls,"B5 - Due Diligence, Operations & Financial Viability",,"The people who deliver the work (staff, volunteers, consultants, or partners) have the skills and support required",Audit or annual accounts readiness,"Assess both capability and support: skills, supervision, tools, care, training, and realistic workload.",1 — Delivery people lack critical skills or support,2 — Skills/support are uneven and create delivery risk,3 — Core skills exist but support systems need strengthening,4 — The team is mostly skilled and supported,"5 — Delivery people have the skills, support, and conditions needed",N/A — Not applicable / unsafe to answer,Single choice score (1–5 + N/A),"Due diligence, finance & risk; B5 Due Diligence, Operations & Financial Viability; Due Diligence; Budget / Contract",Original tested item G5.2 — statement and choices preserved
